Epoch: 212/1000 | Train Loss: 0.000855 | Time: 24.84s | LR: 2.7790101416956035e-13
Epoch: 213/1000 | Train Loss: 0.000855 | Time: 23.78s | LR: 2.223208113356483e-13
Epoch: 214/1000 | Train Loss: 0.000855 | Time: 24.07s | LR: 1.7785664906851864e-13
Epoch: 215/1000 | Train Loss: 0.000855 | Time: 24.02s | LR: 1.7785664906851864e-13
Epoch: 216/1000 | Train Loss: 0.000855 | Time: 24.39s | LR: 1.7785664906851864e-13
Epoch: 217/1000 | Train Loss: 0.000855 | Time: 24.53s | LR: 1.7785664906851864e-13
Epoch: 218/1000 | Train Loss: 0.000855 | Time: 30.5s | LR: 1.7785664906851864e-13
Epoch: 219/1000 | Train Loss: 0.000854 | Time: 25.02s | LR: 1.7785664906851864e-13
Epoch: 220/1000 | Train Loss: 0.000855 | Time: 25.75s | LR: 1.4228531925481493e-13
Epoch: 221/1000 | Train Loss: 0.000855 | Time: 24.29s | LR: 1.1382825540385195e-13
Epoch: 222/1000 | Train Loss: 0.000855 | Time: 24.57s | LR: 9.106260432308156e-14
Epoch: 223/1000 | Train Loss: 0.000855 | Time: 24.91s | LR: 9.106260432308156e-14
Epoch: 224/1000 | Train Loss: 0.000855 | Time: 24.17s | LR: 7.285008345846525e-14
Epoch: 225/1000 | Train Loss: 0.000855 | Time: 24.17s | LR: 7.285008345846525e-14
Epoch: 226/1000 | Train Loss: 0.000855 | Time: 23.72s | LR: 5.82800667667722e-14
Epoch: 227/1000 | Train Loss: 0.000854 | Time: 24.43s | LR: 5.82800667667722e-14
Epoch: 228/1000 | Train Loss: 0.000855 | Time: 29.34s | LR: 4.6624053413417764e-14
Epoch: 229/1000 | Train Loss: 0.000855 | Time: 25.02s | LR: 3.7299242730734213e-14
Epoch: 230/1000 | Train Loss: 0.000855 | Time: 23.49s | LR: 3.7299242730734213e-14
Epoch: 231/1000 | Train Loss: 0.000855 | Time: 25.2s | LR: 2.983939418458737e-14
Epoch: 232/1000 | Train Loss: 0.000855 | Time: 24.77s | LR: 2.983939418458737e-14
